county,deaths_people,injured_people,houses_destroyed,houses_damaged,affected_people,damages_in_crops,lost_cattle,x,y,constituency_gis,county_centriod
TAITA TAVETA,3,1,1,0,0,1,3,-3.28449031,38.28508482,WUNDANYI,"(-3.43473399370, 38.41860200330)"
KISII,0,0,1,1,2,6,0,-0.70599193,34.82410979,NYARIBARI CHACHE,"(-0.77460375721, 34.77472298350)"
KISII,6,2,1,3,4,0,15,-0.901826,34.66245343,NYARIBARI CHACHE,"(-0.77460375721, 34.77472298350)"
KAKAMEGA,8,12,4,3,14,5,2,0.19417803,34.72411138,SHINYALU,"(0.40368346399, 34.74451115300)"
KIRINYAGA,1,0,0,0,0,0,0,-0.51198237,37.30372319,GICHUGU,"(-0.52474629622, 37.31986810930)"
WEST POKOT,23,6,0,0,20,13,12,2.30160238,35.08650174,KAPENGURIA,"(1.74010617129, 35.24384680920)"
MURANG'A,2,0,0,5,5,1,0,-0.64852092,36.77203041,MATHIOYA,"(-0.80959053649, 37.03272252330)"
MERU,1,0,1,0,0,0,0,-0.02528395,37.682027,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
ELEGEYO-MARAKWET,3,3,1,2,8,0,4,0.35764686,35.59208491,MARAKWET EAST,"(0.80221881085, 35.53656314740)"
BUNGOMA,3,4,5,0,10,0,3,0.82575453,34.47359398,KANDUYI,"(0.74928523962, 34.64046087560)"
WEST POKOT,8,2,2,6,13,5,11,1.48701354,35.64739871,KAPENGURIA,"(1.74010617129, 35.24384680920)"
WEST POKOT,11,16,8,6,25,34,8,1.48701354,35.64739871,KAPENGURIA,"(1.74010617129, 35.24384680920)"
WEST POKOT,0,0,0,0,0,0,6,1.48701354,35.64739871,KAPENGURIA,"(1.74010617129, 35.24384680920)"
MERU,4,1,0,0,3,1,9,0.22739478,37.92068357,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
MURANG'A,1,0,0,1,1,0,1,-0.7375552,36.98205783,MATHIOYA,"(-0.80959053649, 37.03272252330)"
MURANG'A,1,0,0,3,1,1,3,-0.7375552,36.98205783,MATHIOYA,"(-0.80959053649, 37.03272252330)"
MURANG'A,0,0,0,2,2,5,0,-0.87781682,36.98958778,MATHIOYA,"(-0.80959053649, 37.03272252330)"
MURANG'A,0,0,0,0,3,2,0,-0.69182551,36.96287956,MATHIOYA,"(-0.80959053649, 37.03272252330)"
NYANDARUA,1,0,1,3,3,0,4,-0.40273504,36.50844474,KIPIPIRI,"(-0.32207782249, 36.48286916100)"
KERICHO,4,1,0,2,2,0,2,-0.18796729,35.43146008,BELGUT,"(-0.29573290602, 35.31407000860)"
KIAMBU,3,0,3,0,1,4,5,-0.91032161,36.68112779,GATUNDU NORTH,"(-1.06870606598, 36.82356425790)"
MURANG'A,1,0,1,0,4,0,0,-0.63897502,36.9677687,MATHIOYA,"(-0.80959053649, 37.03272252330)"
MURANG'A,0,0,1,1,4,0,21,-0.63897502,36.9677687,MATHIOYA,"(-0.80959053649, 37.03272252330)"
MURANG'A,1,0,1,0,1,0,1,-0.63897502,36.9677687,MATHIOYA,"(-0.80959053649, 37.03272252330)"
NYERI,0,0,7,0,0,0,2,-0.44587765,37.11625732,KIENI,"(-0.34292358939, 36.95647813460)"
MAKUENI,1,0,1,0,1,1,0,-1.66338496,37.4475202,KIBWEZI WEST,"(-2.15768410007, 37.78824557250)"
NYERI,2,0,1,0,3,10,16,-0.57794862,37.07631395,KIENI,"(-0.34292358939, 36.95647813460)"
KIRINYAGA,0,0,1,0,7,0,0,-0.55073648,37.21905657,GICHUGU,"(-0.52474629622, 37.31986810930)"
LAIKIPIA,0,0,0,0,0,0,0,0.40305326,36.61345938,LAIKIPIA NORTH,"(0.32360412250, 36.77172785880)"
BARINGO,1,0,0,0,0,0,0,0.36815837,35.75293052,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
BARINGO,0,2,0,0,0,0,0,0.36815837,35.75293052,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
BARINGO,0,0,0,1,0,0,2,0.36815837,35.75293052,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
BARINGO,1,1,0,0,0,0,0,0.36815837,35.75293052,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
BARINGO,1,0,0,0,0,1,0,0.36815837,35.75293052,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
BARINGO,0,2,0,0,0,0,1,0.36815837,35.75293052,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
ELEGEYO-MARAKWET,5,5,6,10,13,7,6,0.42115942,35.61421796,MARAKWET EAST,"(0.80221881085, 35.53656314740)"
NANDI,0,1,0,0,0,2,4,-0.04571223,35.3083727,MOSOP,"(0.18668888688, 35.11048766640)"
ELEGEYO-MARAKWET,14,6,8,2,20,7,12,1.20404919,35.64818661,MARAKWET EAST,"(0.80221881085, 35.53656314740)"
ELEGEYO-MARAKWET,10,3,5,6,12,2,4,1.20404919,35.64818661,MARAKWET EAST,"(0.80221881085, 35.53656314740)"
